id	filename	md5	size	state
e5a07868-5bf0-409b-acb9-a75af94b1116	d4bd5ebc-ef30-47fa-af3f-3e5125ef8116.mirbase21.isoforms.quantification.txt	4ad75995b977021545c1b301e423c162	381406	live
2c2e7d78-c7e1-4409-a304-35e79be7376e	a5bb29e7-e53f-45f4-a040-d2ac3c3fff1d.mirbase21.isoforms.quantification.txt	57614d1a94c32357df6132b38dacad3b	392250	live
6f16c866-20b5-4d49-9984-5a0d3f7e300f	14b1c460-bdb2-44ee-881e-67669a0decfd.mirbase21.isoforms.quantification.txt	46ce5bebcb659799028a18a1584a4f78	740497	live
9a480f46-75e9-4f2c-bf52-694549a2b8ca	3ebd7ed7-bf54-46e9-b731-e30dfef89df0.mirbase21.isoforms.quantification.txt	e91ca27896109c82982d3506e67bfce6	387471	live
62ef1188-209a-4eff-96cd-e6ca617c8667	7ee9263f-dfa1-485a-9292-308fb6316bff.mirbase21.isoforms.quantification.txt	fef57e9ac3d48c01553a896121e265cc	433961	live
bff0327d-1384-4396-bdfc-3c1001463e5e	d1d2233c-9c95-4e38-90ae-a0137bfb4aab.mirbase21.isoforms.quantification.txt	1d4b08e7eee8372177561b88abb7107a	282468	live
f647ac92-7be9-414c-8288-cb82277b0bde	5655ec51-8f1b-4232-a628-54ec0e311e7e.mirbase21.isoforms.quantification.txt	5ac81bb2d22e109308f72eaae3dcf01e	463383	live
6462bc88-956d-4f28-9eef-7cc7818dc900	ad4a715c-e9f7-4f9d-b7ef-009ae702e005.mirbase21.isoforms.quantification.txt	93b8420cd0718ae42011bed29d877df8	384589	live
fb2cdb9f-903d-4527-9b64-96a32f8954cf	1a310af4-190e-4fe9-98ae-3f3c57d8a177.mirbase21.isoforms.quantification.txt	be8d66b2664c12f98c6b155b00502c53	348468	live
6756e217-770c-4ff4-9b5d-6d0c73bfebc3	7d9576bb-a58d-4db8-a7af-251c96c832da.mirbase21.isoforms.quantification.txt	892b06652712e2ce793392c56fa1efa7	302475	live
bfe499d0-271c-453b-a97b-40023485ab50	e5a63f4b-d39d-476f-a3e6-81f8249fe85a.mirbase21.isoforms.quantification.txt	26eebf847d37103cf3a6cbc0e0b25bc2	307565	live
765087cc-5ea7-4957-841e-e30d7d058db1	424d5e55-9772-48ef-aebb-7c69cd6b0554.mirbase21.isoforms.quantification.txt	35b93c2fb9311a6be70c19bc374fa408	449414	live
68afe61b-ad82-4d5b-8c7d-6faeaa8eb25e	b7f7085e-e0f3-4189-9595-ca3e157efbb7.mirbase21.isoforms.quantification.txt	4c9002d19ff31649ff9f7a0c65aec032	574479	live
0baa360d-05a8-4d67-b078-1f1865e17fff	2288a1aa-8f29-4a29-a619-2c49fde819ae.mirbase21.isoforms.quantification.txt	8eb1f4bb661c1bbf1530dd67f0b6de6b	227630	live
1eb36d0e-dc93-4082-8bdc-3364aba2a395	769b38f0-1e2d-4158-8d81-908744d47bfc.mirbase21.isoforms.quantification.txt	1c7d09b99a2826428ca9e3665cad130e	350929	live
f21ae46e-21a4-4c29-bd44-e617a2e16000	c439ea64-6739-46d3-a6f0-e8569cf7e576.mirbase21.isoforms.quantification.txt	7470cbf59e0adf632c57e8525bce819c	328709	live
43700679-c2e5-4196-85b2-153b4d60ff8d	09060213-f4f0-4114-b7b8-9ac36c0673d9.mirbase21.isoforms.quantification.txt	524f26da4da30aa49e666ff7683d95c5	393826	live
933d058a-03aa-4f45-8125-a22664f64890	1caf2d0f-cbf7-4054-93ff-5815efaeda37.mirbase21.isoforms.quantification.txt	42ef4738cadf945a71783f14ea1c0311	288254	live
3bd528e3-5b02-4097-94fa-87d54a32b7ae	5c0b9478-30b0-4217-b5c1-14ae9bc54fdc.mirbase21.isoforms.quantification.txt	bfff4f3fb275db9563f4c095ad80894c	364663	live
30f9217a-7ef7-415a-b0c3-78982dc1f4e0	509bcdc0-baf4-4fc3-82ed-49e009e2f9c9.mirbase21.isoforms.quantification.txt	f5ab0da3dffcd6ed401cc2847df61bd5	412496	live
