id	filename	md5	size	state
c646e624-136a-4a5a-a11d-a47c3a398751	06a8ba43-c1e0-4de1-9073-4b16c95245ca.htseq.counts.gz	6d677707611664f7160f3a613880ef0e	248969	released
ac333fd4-b9ac-4861-b994-152c765068b3	1414d172-710a-4fb6-af82-f8b0c923b259.htseq.counts.gz	5562511d19149493c9392106c68cfac1	254043	released
0077ddf1-c0ed-485e-87b2-a7f3a7133a86	dfe06359-c16a-4959-bb04-298f18474a17.htseq.counts.gz	db0b72ccdf652045a27089049cc4a3d4	257412	released
00a9fc98-9f19-4a73-ae62-048fd7923b66	e30e547e-eeff-4a1f-829b-b6ec9e79f02a.htseq.counts.gz	dba6382b9b6dbc61d7d8ae47ee1e8db9	252723	released
6ec1d9a1-6c71-481c-ae53-a09c1c895029	fcdaa827-e263-46e0-8a83-206fa5a009ba.htseq.counts.gz	6fd9bfb7576056b35d967c6e601c218f	249545	released
c9f65b52-9aae-4105-a53c-7018abebde66	f5aa7410-7a2e-4267-ba3a-2a6a391f6b45.htseq.counts.gz	6ca2f18ca77a1b0cb5539a75e0fee519	251808	released
7a937bcc-decb-41e6-88e3-c50f21c34773	6068fbcf-7836-41f6-8cd2-4cffde58d00a.htseq.counts.gz	a7a431b5f7b913712133b2594cf099df	246080	released
70702a9c-a74f-4703-9dd5-24a124ebc2d5	f6b9d070-6d11-40f3-9ca0-a20779091825.htseq.counts.gz	73e37842d824d13db736418abf1fd9bd	254304	released
866cabeb-a740-4ba3-a680-dcface1fbafc	b40a318f-fc61-49e5-ab41-c2e41510a12c.htseq.counts.gz	a920734d3a66d5e74e6ef12281b5964e	254413	released
0c00a19b-435a-4744-b142-feb64722abc1	d998e259-4ea6-428d-8c47-4bc4656dbaa7.htseq.counts.gz	d08dbb2ef33da0dace0c5be1fcee104e	256942	released
e7e698aa-f2ee-4ef0-9f25-3a30a20f1d75	9838a921-f1fc-434a-abe3-d396e32c32b5.htseq.counts.gz	1a7d65ace1aebf35762f6acbff51f254	250245	released
c7741a5b-70b8-41ad-87ea-10270d2c747d	1a33a98d-2df8-4c2d-8042-5d2add5ce54c.htseq.counts.gz	57bfcd377d81653213e7b46bd18feaa3	254903	released
50a55f2d-2edc-47eb-b6de-16d467b11d04	0cb461ea-1a40-4f29-97d8-9337a74bc6c7.htseq.counts.gz	5abcc4a52d6ae3d4f4babcc066fc32a2	254882	released
