Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1233-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1234	0	0.000000	N	0	0.000000	N	2	0.355439	N	1	0.103993	N
hsa-mir-1236	0	0.000000	N	1	0.109334	N	0	0.000000	N	0	0.000000	N
hsa-mir-1237	0	0.000000	N	2	0.218669	N	0	0.000000	N	0	0.000000	N
hsa-mir-1238	0	0.000000	N	0	0.000000	N	1	0.177719	N	0	0.000000	N
hsa-mir-124-1	1	0.299679	N	3	0.328003	N	1	0.177719	N	5	0.519967	N
hsa-mir-124-2	0	0.000000	N	3	0.328003	N	0	0.000000	N	3	0.311980	N
hsa-mir-124-3	1	0.299679	N	1	0.109334	N	1	0.177719	N	2	0.207987	N
hsa-mir-1243	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1245	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1246	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1247	39	11.687466	N	22	2.405355	N	326	57.936491	N	66	6.863571	N
hsa-mir-1248	13	3.895822	N	29	3.170695	N	53	9.419123	N	43	4.471720	N
hsa-mir-1249	6	1.798072	N	47	5.138713	N	19	3.376667	N	52	5.407662	N
hsa-mir-1250	0	0.000000	N	0	0.000000	N	2	0.355439	N	0	0.000000	N
hsa-mir-1251	1	0.299679	N	2	0.218669	N	6	1.066316	N	0	0.000000	N
hsa-mir-1252	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1253	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1254	0	0.000000	N	2	0.218669	N	3	0.533158	N	2	0.207987	N
hsa-mir-1255a	0	0.000000	N	1	0.109334	N	5	0.888596	N	8	0.831948	N
hsa-mir-1255b-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1256	0	0.000000	N	1	0.109334	N	0	0.000000	N	1	0.103993	N
hsa-mir-1257	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1258	9	2.697108	N	2	0.218669	N	0	0.000000	N	0	0.000000	N
hsa-mir-125a	4260	1276.630941	N	13746	1502.909550	N	9557	1698.463315	N	14331	1490.330789	N
hsa-mir-125b-1	11112	3330.028877	N	15235	1665.708351	N	9695	1722.988577	N	14224	1479.203485	N
